N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
6.6	 Fanboys	2009	 Adventure	 Comedy	 Crime	 6.6)
6.6	 "Childs Play"	1988	 Fantasy	 Horror	 Thriller	 6.6)
6.6	 "Chris Claremonts X-Men"	2018	 Documentary	 6.6)		
6.6	 The Greatest Story Ever Told	1965	 Biography	 Drama	 History	 6.6)
6.6	 Juggernaut	1974	 Action	 Drama	 Thriller	 6.6)
6.6	 Frontera	2014	 Drama	 Thriller	 Western	 6.6)
6.6	 The Missouri Breaks	1976	 Drama	 Western	 6.6)	
6.5	 The World Unseen	2007	 Drama	 Romance	 6.5)	
6.5	 The Girl on the Train	2016	 Crime	 Drama	 Mystery	 6.5)
6.5	 Blackthorn	2011	 Action	 Adventure	 Western	 6.5)
6.5	 The Basket	1999	 Drama	 6.5)		
6.5	 Dear Santa	2011	 Drama	 6.5)		
6.4	 A Princess for Christmas	2011	 Comedy	 Drama	 Family	 Romance
6.4	 Upside Down	2012	 Drama	 Fantasy	 Romance	 6.4)
6.4	 High Strung	2016	 Drama	 Music	 Romance	 6.4)
6.4	 The Cell	2000	 Crime	 Horror	 Sci-Fi	 6.4)
6.4	 Venus and Serena	2012	 Documentary	 Sport	 6.4)	
6.4	 Europa Report	2013	 Action	 Drama	 Mystery	 6.4)
6.4	 Parkland	2013	 Drama	 History	 Mystery	 6.4)
6.4	 The Captain Hates the Sea	1934	 Comedy	 6.4)		
6.4	 White Lightning	1973	 Action	 Crime	 Drama	 6.4)
6.4	 Force 10 from Navarone	1978	 Action	 Drama	 War	 6.4)
6.4	 The Mothman Prophecies	2002	 Drama	 Horror	 Mystery	 6.4)
6.4	 Voyage of the Damned	1976	 Drama	 War	 6.4)	
6.4	 Missing 411	2016	 Documentary	 6.4)		
6.3	 W.	2008	 Biography	 Comedy	 Drama	 6.3)
6.3	 "Its a Boy Girl Thing"	2006	 Comedy	 Fantasy	 Romance	 6.3)
6.3	 The Family Stone	2005	 Comedy	 Drama	 Romance	 6.3)
6.3	 The Cutting Edge: Going for the Gold	2006	 Action	 Comedy	 Drama	 Family
6.3	 A Little Bit of Heaven	2011	 Comedy	 Drama	 Fantasy	 6.3)
6.3	 Lone Wolf McQuade	1983	 Action	 Crime	 Drama	 6.3)
6.3	 The Healer	2016	 Comedy	 Drama	 Family	 6.3)
6.3	 Mirage Men	2013	 Documentary	 6.3)		
6.3	 Arthur and the Minimoys	 2017–2018	 Animation	 6.3)		
6.3	 "From Bollywood to Hollywood: The Making of Bride and Prejudice"	2004	 Short	 Crime	 6.3)	
6.3	 Dayveon	2017	 Drama	 6.3)		
6.3	 Rob the Mob	2014	 Biography	 Crime	 Drama	 6.3)
6.3	 Letters to God	2010	 Drama	 Family	 6.3)	
6.3	 Diana: The Royal Truth	2017	 Documentary	 6.3)		
6.3	 March or Die	1977	 Adventure	 Drama	 Romance	 6.3)
6.3	 Moondance Alexander	2007	 Animation	 Drama	 Family	 6.3)
6.3	 Billy Two Hats	1974	 Romance	 Western	 6.3)	
6.2	 Red Lights	2012	 Drama	 Fantasy	 Mystery	 6.2)
6.2	 Blitz	2011	 Action	 Crime	 Thriller	 6.2)
6.2	 The Cutting Edge 3: Chasing the Dream	2008	 Action	 Adventure	 Comedy	 Drama
6.2	 Take Me to the River	2015	 Drama	 6.2)		
6.2	 Gundala	2019	 Action	 Adventure	 Drama	 6.2)
6.2	 The White Buffalo	1977	 Action	 Adventure	 Western	 6.2)
6.1	 Shall We Dance?	2004	 Comedy	 Drama	 Music	 6.1)
6.1	 Coriolanus	2011	 Drama	 Thriller	 War	 6.1)
6.1	 Teen Witch	1989	 Comedy	 Fantasy	 Romance	 6.1)
6.1	 Felony	2013	 Crime	 Drama	 Thriller	 6.1)
6.1	 The Maiden Heist	2009	 Comedy	 Crime	 6.1)	
6.1	 Real Men	1987	 Action	 Comedy	 Sci-Fi	 6.1)
6.1	 The Russia House	1990	 Drama	 Romance	 Thriller	 6.1)
6.1	 Brannigan	1975	 Action	 Comedy	 Crime	 6.1)
6.1	 Man of Tai Chi	2013	 Action	 Drama	 6.1)	
6	 Cold Skin	2017	 Action	 Adventure	 Fantasy	 6.0)
6	 The Escort	2015	 Comedy	 Drama	 Romance	 6.0)
6	 Pulling Strings	2013	 Comedy	 Romance	 6.0)	
6	 The Alamo	2004	 Drama	 History	 War	 6.0)
